"","GOBPID","Pvalue","OddsRatio","ExpCount","Count","Size","Term"
"57","GO:0072329",0.0220369862213492,20.6970297029703,0.265259853505406,2,3,"monocarboxylic acid catabolic process"
"58","GO:0050832",0.0220369862213492,20.6970297029703,0.265259853505406,2,3,"defense response to fungus"
"59","GO:0006635",0.0220369862213492,20.6970297029703,0.265259853505406,2,3,"fatty acid beta-oxidation"
"60","GO:0034440",0.0220369862213492,20.6970297029703,0.265259853505406,2,3,"lipid oxidation"
"61","GO:0008295",0.0220369862213492,20.6970297029703,0.265259853505406,2,3,"spermidine biosynthetic process"
"62","GO:1990748",0.0220369862213492,20.6970297029703,0.265259853505406,2,3,"cellular detoxification"
"63","GO:0009110",0.0284274261693198,2.44866202994224,3.71363794907569,8,42,"vitamin biosynthetic process"
"64","GO:0030001",0.0317011380157041,1.71232571109872,11.317753749564,18,128,"metal ion transport"
"65","GO:0044283",0.0369146391210454,1.57053402005964,15.6047083626142,23,178,"small molecule biosynthetic process"
"66","GO:0006586",0.0385417398866572,5.17956349206349,0.795779560516219,3,9,"indolalkylamine metabolic process"
"67","GO:0015743",0.0415051690364551,10.3465346534653,0.353679804673875,2,4,"malate transport"
"68","GO:0009605",0.0415051690364551,10.3465346534653,0.353679804673875,2,4,"response to external stimulus"
"69","GO:0006835",0.0415051690364551,10.3465346534653,0.353679804673875,2,4,"dicarboxylic acid transport"
"70","GO:0044242",0.0415051690364551,10.3465346534653,0.353679804673875,2,4,"cellular lipid catabolic process"
"71","GO:0000097",0.0469045566904681,2.88235945108455,2.03365887687478,5,23,"sulfur amino acid biosynthetic process"
"72","GO:0006457",0.049955478459317,1.87817292437864,6.36623648412975,11,72,"protein folding"
