"","GOMFID","Pvalue","OddsRatio","ExpCount","Count","Size","Term"
"36","GO:0015079",0.0273846172663989,5.34410430839002,0.673884448042092,3,15,"potassium ion transmembrane transporter activity"
"37","GO:0004550",0.0363945651837575,8.53755656108597,0.31447940908631,2,7,"nucleoside diphosphate kinase activity"
"38","GO:0140358",0.0392285353625777,3.42327272727273,1.30284326621471,4,29,"P-type transmembrane transporter activity"
"39","GO:0004789",0.0449256298694728,Inf,0.0449256298694728,1,1,"thiamine-phosphate diphosphorylase activity"
"40","GO:0052855",0.0449256298694728,Inf,0.0449256298694728,1,1,"ADP-dependent NAD(P)H-hydrate dehydratase activity"
"41","GO:0004375",0.0449256298694728,Inf,0.0449256298694728,1,1,"glycine dehydrogenase (decarboxylating) activity"
"42","GO:0033862",0.0449256298694728,Inf,0.0449256298694728,1,1,"UMP kinase activity"
"43","GO:0000213",0.0449256298694728,Inf,0.0449256298694728,1,1,"tRNA-intron endonuclease activity"
"44","GO:0008972",0.0449256298694728,Inf,0.0449256298694728,1,1,"phosphomethylpyrimidine kinase activity"
"45","GO:0000234",0.0449256298694728,Inf,0.0449256298694728,1,1,"phosphoethanolamine N-methyltransferase activity"
"46","GO:0003839",0.0449256298694728,Inf,0.0449256298694728,1,1,"gamma-glutamylcyclotransferase activity"
"47","GO:0016894",0.0449256298694728,Inf,0.0449256298694728,1,1,"endonuclease activity, active with either ribo- or deoxyribonucleic acids and producing 3'-phosphomonoesters"
"48","GO:0015105",0.0449256298694728,Inf,0.0449256298694728,1,1,"arsenite transmembrane transporter activity"
"49","GO:0004141",0.0449256298694728,Inf,0.0449256298694728,1,1,"dethiobiotin synthase activity"
"50","GO:0015297",0.0460990577370582,2.74516675427837,1.9767277142568,5,44,"antiporter activity"
